config,family,k_mode,K,shape,beta,dead_zone,floor,ceiling,sat_A,games,brier,log_loss,accuracy
linear_b1_dz0.00_f0.60-c2.25|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.6,2.25,,11426,0.187798,0.55224,0.70873
linear_b1_dz0.00_f0.60-c2.25|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.6,2.25,,11426,0.192655,0.566665,0.70042
linear_b1_dz0.00_f0.60-c2.50|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.6,2.5,,11426,0.187798,0.55224,0.70873
linear_b1_dz0.00_f0.60-c2.50|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.6,2.5,,11426,0.192655,0.566665,0.70042
linear_b1_dz0.00_f0.70-c1.50|norm,Bounded SRDiff,normalized,78.679,linear,1,0.0,0.7,1.5,,11426,0.187798,0.55224,0.70873
linear_b1_dz0.00_f0.70-c1.50|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.7,1.5,,11426,0.192657,0.56667,0.70051
linear_b1_dz0.00_f0.70-c1.75|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.7,1.75,,11426,0.187798,0.552238,0.70873
linear_b1_dz0.00_f0.70-c1.75|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.7,1.75,,11426,0.192655,0.566664,0.70042
linear_b1_dz0.00_f0.70-c2.00|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.7,2.0,,11426,0.187798,0.552238,0.70873
linear_b1_dz0.00_f0.70-c2.00|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.7,2.0,,11426,0.192655,0.566664,0.70042
linear_b1_dz0.00_f0.70-c2.25|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.7,2.25,,11426,0.187798,0.552238,0.70873
linear_b1_dz0.00_f0.70-c2.25|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.7,2.25,,11426,0.192655,0.566664,0.70042
linear_b1_dz0.00_f0.70-c2.50|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.7,2.5,,11426,0.187798,0.552238,0.70873
linear_b1_dz0.00_f0.70-c2.50|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.7,2.5,,11426,0.192655,0.566664,0.70042
linear_b1_dz0.00_f0.75-c1.50|norm,Bounded SRDiff,normalized,78.678,linear,1,0.0,0.75,1.5,,11426,0.187799,0.552241,0.70873
linear_b1_dz0.00_f0.75-c1.50|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.75,1.5,,11426,0.192657,0.566669,0.70042
linear_b1_dz0.00_f0.75-c1.75|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.75,1.75,,11426,0.187798,0.552239,0.70873
linear_b1_dz0.00_f0.75-c1.75|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.75,1.75,,11426,0.192655,0.566664,0.70033
linear_b1_dz0.00_f0.75-c2.00|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.75,2.0,,11426,0.187798,0.552239,0.70873
linear_b1_dz0.00_f0.75-c2.00|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.75,2.0,,11426,0.192655,0.566664,0.70033
linear_b1_dz0.00_f0.75-c2.25|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.75,2.25,,11426,0.187798,0.552239,0.70873
linear_b1_dz0.00_f0.75-c2.25|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.75,2.25,,11426,0.192655,0.566664,0.70033
linear_b1_dz0.00_f0.75-c2.50|norm,Bounded SRDiff,normalized,78.67,linear,1,0.0,0.75,2.5,,11426,0.187798,0.552239,0.70873
linear_b1_dz0.00_f0.75-c2.50|fixed,Bounded SRDiff,fixed,35,linear,1,0.0,0.75,2.5,,11426,0.192655,0.566664,0.70033
linear_b1_dz0.01_f0.50-c1.50|norm,Bounded SRDiff,normalized,78.997,linear,1,0.01,0.5,1.5,,11426,0.187879,0.552435,0.70882
