end_year,window_start,window_end,team_name,coeff_5yr
2021,2017,2021,Middle Tennessee,1.19457
2021,2017,2021,Marshall,1.181524
2021,2017,2021,UTSA,1.128625
2021,2017,2021,Rutgers,1.108649
2021,2017,2021,South Florida,1.068165
2021,2017,2021,Tulane,1.017866
2021,2017,2021,Louisiana Tech,1.012613
2021,2017,2021,Vanderbilt,1.006254
2021,2017,2021,Georgia Southern,0.884192
2021,2017,2021,San Jose State,0.87504
2021,2017,2021,Kansas,0.87424
2021,2017,2021,Bowling Green,0.868567
2021,2017,2021,Western Kentucky,0.847943
2021,2017,2021,North Texas,0.795688
2021,2017,2021,Akron,0.767711
2021,2017,2021,South Alabama,0.756395
2021,2017,2021,UNLV,0.743094
2021,2017,2021,East Carolina,0.689616
2021,2017,2021,Colorado State,0.558545
2021,2017,2021,Texas State,0.425988
2021,2017,2021,New Mexico,0.413638
2021,2017,2021,Charlotte,0.398738
2021,2017,2021,Old Dominion,0.362147
2021,2017,2021,Southern Miss,0.313373
2021,2017,2021,Rice,0.29073
2021,2017,2021,UTEP,0.181412
2021,2017,2021,New Mexico State,0.146429
2021,2017,2021,UConn,0.088074
2022,2018,2022,Georgia,23.992052
2022,2018,2022,Alabama,23.921992
2022,2018,2022,Clemson,15.059422
2022,2018,2022,Oklahoma,14.01105
2022,2018,2022,LSU,13.8187
2022,2018,2022,Ohio State,13.476706
2022,2018,2022,Oklahoma State,12.820532
2022,2018,2022,Texas,10.765106
2022,2018,2022,Notre Dame,10.744068
2022,2018,2022,Iowa State,10.616218
2022,2018,2022,TCU,10.506771
2022,2018,2022,Texas A&M,9.598397
2022,2018,2022,Oregon,8.953892
2022,2018,2022,Michigan,8.657983
2022,2018,2022,Florida,8.648156
2022,2018,2022,Kansas State,8.174729
2022,2018,2022,Baylor,7.87399
2022,2018,2022,Iowa,7.796198
2022,2018,2022,Auburn,7.705137
2022,2018,2022,Utah,7.189411
2022,2018,2022,Kentucky,7.146775
2022,2018,2022,Tennessee,6.969801
2022,2018,2022,Penn State,6.931436
2022,2018,2022,Washington,6.632237
2022,2018,2022,Wisconsin,6.422683
2022,2018,2022,Minnesota,6.223156
2022,2018,2022,West Virginia,6.181965
2022,2018,2022,Mississippi State,5.74458
2022,2018,2022,Pittsburgh,5.727217
2022,2018,2022,USC,5.586465
2022,2018,2022,Texas Tech,5.473113
2022,2018,2022,South Carolina,5.355087
2022,2018,2022,Ole Miss,5.110555
2022,2018,2022,Michigan State,5.052779
2022,2018,2022,Northwestern,5.022297
2022,2018,2022,NC State,4.937356
2022,2018,2022,Arkansas,4.825675
2022,2018,2022,Missouri,4.774709
2022,2018,2022,Wake Forest,4.741477
2022,2018,2022,Purdue,4.699301
2022,2018,2022,Cincinnati,4.501823
2022,2018,2022,North Carolina,4.486305
2022,2018,2022,Florida State,4.325641
2022,2018,2022,BYU,4.191463
2022,2018,2022,Washington State,4.159709
2022,2018,2022,Louisiana,4.061897
2022,2018,2022,Arizona State,4.047014
2022,2018,2022,Miami (FL),3.979049
2022,2018,2022,UCLA,3.888371
2022,2018,2022,Oregon State,3.803417
2022,2018,2022,Stanford,3.769295
2022,2018,2022,Boise State,3.641394
2022,2018,2022,Maryland,3.611315
2022,2018,2022,Syracuse,3.600378
2022,2018,2022,San Diego State,3.528695
2022,2018,2022,Louisville,3.500895
2022,2018,2022,Coastal Carolina,3.366738
2022,2018,2022,Air Force,3.290122
2022,2018,2022,Virginia,3.277766
2022,2018,2022,Duke,3.219446
2022,2018,2022,Liberty,3.192106
2022,2018,2022,Virginia Tech,3.137917
2022,2018,2022,UCF,3.131364
2022,2018,2022,Fresno State,3.055851
2022,2018,2022,California,3.055072
2022,2018,2022,Illinois,3.034025
2022,2018,2022,Boston College,2.694486
2022,2018,2022,Utah State,2.661028
2022,2018,2022,Tulane,2.549476
2022,2018,2022,Western Michigan,2.497464
2022,2018,2022,Houston,2.411917
2022,2018,2022,Northern Illinois,2.347925
2022,2018,2022,Georgia Tech,2.322792
2022,2018,2022,Hawai'i,2.318026
2022,2018,2022,Toledo,2.31173
2022,2018,2022,Memphis,2.220999
2022,2018,2022,Navy,2.149489
2022,2018,2022,Troy,2.115164
2022,2018,2022,Ohio,2.100606
2022,2018,2022,Eastern Michigan,2.084529
2022,2018,2022,Army,2.082323
2022,2018,2022,Indiana,2.061839
2022,2018,2022,Miami (OH),2.045429
2022,2018,2022,Colorado,2.03421
2022,2018,2022,SMU,1.986962
2022,2018,2022,Marshall,1.98511
2022,2018,2022,Wyoming,1.90386
2022,2018,2022,Central Michigan,1.88923
2022,2018,2022,Arizona,1.880297
2022,2018,2022,Buffalo,1.804273
2022,2018,2022,Kansas,1.783611
2022,2018,2022,Nebraska,1.777771
2022,2018,2022,UAB,1.755137
2022,2018,2022,Ball State,1.71648
